,,,,,,
STT,Chuyên ngành,Tên ngành,Mã ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
89,Kỹ thuật xây dựng công trình thủy,Kỹ thuật xây dựng,7580202,DGNLHCM,789,Đánh giá năng lực Đại học Quốc gia TPHCM
90,Kỹ thuật xây dựng công trình giao thông,kỹ thuật xây dựng công trình giao thông,7580205,"A00, A01",18,Tốt nghiệp THPT
91,Kỹ thuật xây dựng công trình giao thông,kỹ thuật xây dựng công trình giao thông,7580205,"A00, A01, XDHB",19.17,Học bạ
92,Kỹ thuật xây dựng công trình giao thông,kỹ thuật xây dựng công trình giao thông,7580205,DGNLHCM,664,Đánh giá năng lực Đại học Quốc gia TPHCM
93,Cơ khí động lực,Kỹ thuật cơ khí,7520103A,DGNLHCM,715,Đánh giá năng lực Đại học Quốc gia TPHCM
94,Công nghệ sinh học,Công nghệ sinh học,7420201A,"A00, B00, D07",23.45,Tốt nghiệp THPT
95,,Công nghệ thông tin,7480201A,"A00, A01, D28",25,Tốt nghiệp THPT
96,,Kỹ thuật xây dựng,7580201C,"A00, A01",17,Chuyên ngành Mô hình thông tin và trí tuệ nhân tạo trong xây dựng; Tốt nghiệp THPT
97,Kỹ thuật điện tử - viễn thông,Kỹ thuật điện tử - viễn thông,7520207VM,DGNLHCM,620,Chương trình tiên tiếng Việt - Mỹ; Đánh giá năng lực Đại học Quốc gia TPHCM
98,,Kỹ thuật xây dựng,7580201B,DGNLHCM,642,Chuyên ngành Kỹ thuật và quản lý xây dựng đô thị thông minh; Đánh giá năng lực Đại học Quốc gia TPHCM
99,,Kỹ thuật xây dựng,7580201C,DGNLHCM,642,Chuyên ngành Mô hình thông tin và trí tuệ nhân tạo trong xây dựng; Đánh giá năng lực Đại học Quốc gia TPHCM
100,,Kỹ thuật xây dựng,7580201B,"A00, A01, XDHB",22.01,Học bạ; Chuyên ngành Kỹ thuật và quản lý xây dựng đô thị thông minh
101,,Kỹ thuật xây dựng,7580201C,"A00, A01, XDHB",23.49,Học bạ; Chuyên ngành Mô hình thông tin và trí tuệ nhân tạo trong xây dựng
102,,Hệ thống nhúng thông minh và IoT,7480118VM,"A01, D07",20.33,Chương trình tiên tiến Việt - Mỹ; Tốt nghiệp THPT
103,Kỹ thuật điện tử - viễn thông,Kỹ thuật điện tử - viễn thông,7520207VM,"A01, D07",17.5,Chương trình tiên tiến Việt - Mỹ; Tốt nghiệp THPT
